times asked,submitted,keyword,pos,enumeration,tok,eng,examples
123,,a,,,,,
0,ijo vivi,abandon,,,weka (tan),"leave (someone) behind, forsake",tenpo ala la mi **weka** tan olin mi. | I would never **abandon** my partner.
0,ijo vivi,abandon,,,kama pali ala,stop working on,mi **kama pali ala** e ilo mi. wile pali mi li weka. | I **abandoned** my coding project because I lost motivation.
0,pakala Mapuju,able,,,ken,"having the capability, skill, strength, or power to do something",mi wile **ken** toki Nijon. | I want to be **able** to speak Japanese.
29,"ijo vivi, pakala Mapuju",about,prep,,"toki e, toki lon, lon",on the topic of,"lipu ni li **toki e** kala. | This is a book **about** fish.
mi **toki lon** kili **lon** nasin moku ona. | I'm presenting **about** fruits and vegetables and their consumption methods.
mi pilin ike tawa kama ni. | I'm mad **about** this occurrence."
29,kala Asi,about,adv,,"anu poka, sama (lili)","or so, nearly, approximately","mi kute e ona tan sike nanpa 2006 **anu poka**. | I've been listening to it since **about** 2006.
lete pi tenpo lon en lete pi tenpo sike pini li **sama** lili. | It’s **about** as cold as it was last winter."
0,mun Kekan San,above,,,"sewi, lon sewi",to be located overhead of something else,pan li lon supa **sewi** tawa supa namako. | The cereal is on the shelf **above** the spice shelf.
0,mun Kekan San,above,,,∅,to be intently uninvolved in something due to social status or similar,mi ante tawa ona li pali sama ala. | We are not like them. We are **above** their behavior.
0,,accept,,,,,
0,,according,,,,,
0,,according to,,,(toki) {ijo} la,based on what is said by,"**toki** pi jan sona **la** mi ale li moli lon suno kama. | **According to** scientists, we'll all die tomorrow."
0,,accuracy,,,,,
0,,ache,,,,,
0,ilo Tani,across,,,tawa poka ante,through to the other side of,"nasin telo ni li suli a la ni li wile e wawa mute: jan li **tawa poka ante** ona. | Because this river is so wide, it's very difficult for people to go **across**."
0,ijo vivi,act,n,1,∅,something done,mi awen sona e ni lon ale: mama mi li pana e olin tawa mi. | I will always remember the **acts** of love from my parents.
0,ijo vivi,act,n,2,"jan, kulupu",a performer of music; a musician or band,**jan** mute li pana e kalama ona lon tenpo ni! | Many **acts** will perform at this event!
0,ijo vivi,act,n,3,"tenpo; open, insa, pini, ...",[part] of a theatrical performance,ijo suli li kama lon **insa** pi tenpo musi. | There's a pivotal scene in the second **act**.
0,ijo vivi,act,v,1,len e wile ...,"to [pretend], to conceal one's true intent","jan lawa li kama! ale o **len e wile** ike ona! | The police are coming! Everyone, **act** non-suspiciously!"
0,ijo vivi,act,v,2,∅,to behave a certain way,tenpo poka la ona li kama utala e jan ale. | They've been **acting** hostile around everybody lately.
0,ijo vivi,act,v,3,kama jan pi lon ala,to perform in a theater,"tenpo mute la mi nasin ni: musi la mi **kama jan pi lon ala**, li pana e nasin ona e pilin ona e ale ona tawa lukin. mi open ni lon tenpo weka. | I do the following fairly often: For fun, I **become a fictional person**, and I demonstrate their ways, their feelings, everything about them to onlookers. I've been doing it for a long time."
0,ijo vivi,act out,,,lon e,to perform a plan,"mi wile tawa ma weka. wile mi ni li open lon tenpo weka a. tenpo poka la mi kama ken **lon** e ona. | I've wanted to go to a faraway place for so long. Recently, I finally got to **act** it **out**."
0,mun Kekan San,action,,,pali,something done,sina o **pali**! | You must take **action**!
0,,action,,,,"being in a situation, especially military combat",
1,ijo vivi,actually,,,lon (la),in reality,toki ona li sama ala pali ona **lon**. | What he said is different from what he **actually** did.
1,ijo vivi,actually,,,"mute, a",(used for emphasis),moku ni li pona mute **a**! | This food is **actually** so good!
0,jan Tene,add,v,,pana e,"to put a thing with another, increasing the amount, or improving the whole",o **pana e** telo mama tawa pan. | **Add** milk to the cereal.
1,ijo vivi,advice,,,"toki, nasin, sona","instructions, recommendations","**toki** ona la mi o kute ala e jan ike. | Her **advice** was to ignore the haters.
mi alasa pali e lipu suwi li pakala e pali lon sike. o pana e **nasin** tawa mi. | I'm trying to make origami, but I keep failing. Could you give me **advice**?"
0,jan Niwe,affect,v,,ante,to alter or make a difference to something,ni li **ante** e kulupu kala. | This will **affect** the trout population.
0,jan Niwe,affect,v,,"ike e pilin, ante e pilin",to move someone emotionally,moli pi mama ona li **ike** suli **e pilin** pi jan Maki. | The death of his parents greatly **affected** Makil.
3,,afraid,,,,,
13,"lipamanka, pakala Mapuju",after,,,"ni li pini la, pini ni la",occurring at a point of time following a reference,"mi moku e kili. **ni li pini, la** sijelo li pilin pona. | I ate some fruit. **After,** I was full.
mi tawa kulupu sona nanpa. **pini ni la** mi ken weka tan ma sona ni. | I'm going to math class. **After** that I'll be able to leave this school."
13,,after,,,kama (la),coming next,
0,jan Saki,after all,,,ale la,despite everything,"**ale la**, mi jan taso. | I'm only human **after all**."
6,kala Asi,afternoon,,,(insa pi) tenpo suno,part of the day after morning but before evening,"mi la **insa pi tenpo suno** li pona tawa telo suwi. open suno en tenpo pi kama pimeja la, tenpo pi pona ala. | In my opinion, the **afternoon** is a good time to take sweet drinks. Mornings and evenings, not so much."
19,kala Asi,again,,,sin,"anew, once more, back","mi weka lili li kama **sin**. | I went away for a little bit and came back **again**.
**sin** la mi wile toki e ni: mi utala ala. mi wile sona taso. | Once **again**, I'd like to make it clear I'm not picking a fight, I just want to understand."
2,ijo vivi,against,,,utala e; wile ala,in opposition to,"ona li **utala** e nasin ni: jan li jo e jan ante li lawa ale e ona. | He fought **against** slavery.
kulupu lawa li weka e mani mi **lon ala wile** mi. | The government is taking my money **against** my will."
3,ijo vivi,age,,,"suli, lili",amount of time someone has been alive,"jan li **lili** sama sina la ona o lon ala tomo ni a! | People your **age** shouldn't be in this building!
ona li kama wan lon olin la ona li **suli** seme? | What **age** were they when they married?"
3,ijo vivi,age,,,majuna,"majority, oldness",toki kulupu la jan li kama **majuna** la ona li kama sona. | They say that wisdom comes with **age**.
3,ijo vivi,age,,,tenpo,era,**tenpo** lon la jan ale li ken lukin e sona ale lon ilo. | We're in the Information **Age**.
0,ijo vivi,ago,,,pini,previously (marking a point in the past),suno **pini** nanpa tu wan la mi tawa tenpo musi. | Three days **ago** I went to a concert.
3,kala Asi,agree,,,pilin sama,share the same opinion,mi ale li **pilin sama**. pini li pini. | I think we **agree**: the past is over.
0,kala Asi,air,,,kon,gas of the atmosphere,"tenpo mute la mi pilin ala e ni lon insa: **kon** en telo li jaki ala lon ma mi. | We often take for granted the clean **air** and water in our city.
kulupu waso li open e tawa **kon** ona. | The flock of birds took to the **air**."
0,kala Asi,air,,,pilin,"feeling, sense",**pilin** la ona li wawa tan sijelo suli ona. | His broad shoulders gave him an **air** of strength and reliability.
3,,alive,,,,,
13,mute ante,all,,,ale,all,"ilo **ale** li wile e wawa. | **All** implements require some kind of energy.
mi **ale** li pilin pona tan sitelen musi. | We **all** enjoyed the movie."
0,mun Kekan San,allergy,n,,∅,"immune sensitivity to a given stimulus, often foods or pollen, potentially dangerous","mi ken ala moku e kili kiwen. ona li pini e uta mi la mi ken ala esun e kon. | I have an **allergy** to peanuts. They close up my throat, so I wouldn't be able to breathe."
3,jan Tene,allow,,,ken,to give permission or make possible,mama li **ken e** len noka pi jaki ala taso lon insa tomo. | The parents only **allow** clean shoes inside the house.
7,"jan Suko, ijo vivi",almost,,,poka,"close to, but not quite","**tenpo poka kama la**, ona tu li awen olin lon sike tu wan. | They've been together for **almost** three years.
jan mute la tomo li **poka** tawa ni: jan sin ala li ken kama. | The stadium was **almost** full."
6,"lipamanka, jan Lakuse",alone,,,(wan) taso,without others,"mi **taso** lon ma lete. | I'm **alone** in the cold.
pini pi tenpo musi la jan Isote li pilin pi **wan taso.** | At the end of the party, Isolde felt all **alone.** "
0,ijo vivi,along,,,lon (poka),"on the edge of, lengthwise next to",mi tawa **lon** ma jelo pi poka telo. | We're talking a walk **along** the beach.
0,ijo vivi,along,,,kin,"[together] with, [also]","mi kute e kalama musi la mi kalama **kin** e toki. | When I'm listening to a fun song, I sing **along** to the lyrics."
7,lipamanka,already,,,lon tenpo pini,"having happened in the past, perhaps unexpectedly",nasa la mi pilin e ni: ni li kama **lon tenpo pini**. | It's strange but I feel like this has **already** happened.
7,kala Asi,already,,,kama,having changed,"sina awen pali e tomo sina. lon la ona li **kama** pona a tawa lukin. | You're still renovating your house, but it's **already** looking great."
12,kala Asi,also,adv,,kin,"as well, too",mi **kin** li tawa. | I'm **also** leaving.
12,kala Asi,also,conj,,"kin la, namako la, sama la",and in addition,"ona li pona tawa lukin mi. **kin** la soweli ona li suwi. | I find him handsome, **and also** his cat is adorable."
0,ijo vivi,although,,,taso,despite,"sewi li pimeja ike. **taso** mi awen musi. | **Although** the sky is a dismal gray, I'm still having fun."
2,ijo vivi,always,,,(tenpo) ale,at all times or circumstances,**ale la** mi olin e sina. | I will **always** love you.
2,ijo vivi,always,,,tenpo mute,"(hyperbolic) [often], in many circumstances",**tenpo** mute a la sina lukin e ilo ike sina! | You're **always** on that damn phone!
0,mun Kekan San,amaze,,,pilin wawa (tan),"impress someone, generally by a difficult act","mi tawa sike e sijelo mi la jan lukin li **pilin wawa**! | When I do cartwheels, everyone is **amazed**!"
0,"pakala Mapuju, ijo vivi",ambivalent,,,pilin suli ala,"indifferent, apathetic","kalama li seme tawa sina? — a, mi **pilin suli ala** tawa ona. | How'd you like the album? — Eh, I'm kinda **ambivalent** about it."
2,ilo Tani,among,,,lon (kulupu),mingling with,sike li **lon** kulupu pi lipu kasi. | The ball was **among** the leaves.
0,ilo Tani,amount,,,suli,a total (of a mass noun),**suli** pi jaki ma li pakala e sijelo jan. | The **amount** of pollution in the world threatens people's health.
0,ilo Tani,amount,,,mute,a quantity (of discrete objects),mi sona ala e **mute** soweli. | I'm not sure about the **amount** of cows.
56,kala Asi,and,conj,,"en, ∅",particle; connecting two noun phrases,"mi **en** sina o weka tan ma ni. | You **and** I should run away.
telo suli la telo **li** kama **li** weka. | Ocean tides come **and** go.
**o** pali e lipu sina **o** lape. | Do your homework **and** go to bed.
mi wan **e** pan **e** ko **e** kasi. | I make a sandwich out of bread, cheese, **and** salad.
len ni li pona **lon** seli **lon** lete kin. | This outfit is suitable both for hot **and** cold weather."
56,kala Asi,and,conj,,∅,particle; connecting two sentences,"mi kama la mi wile moku e ko li wile anpa e sina ale. ko mi li pini. | I have come here to chew bubblegum and kick ass, **and** I'm all out of bubblegum."
2,ijo vivi,angel,,,"sewi, jan (sewi)",divine figure sent by a deity,**jan** Kapike li toki e wile sewi tawa kulupu jan. | The **angel** Gabriel announces God's will to humanity.
2,ijo vivi,angel,,,jan suwi,"someone who is cute, innocent or kind","lape mi li pini la sina pana e moku tawa mi la sina **suwi mute** a. | Thanks for making me breakfast in bed, you little **angel**."
2,mun Kekan San,anger,,,"(pilin) utala, (wile) utala",to cause to be hostile,mi weka e moku soweli la ona li wile **utala** e mi... | I **angered** the dog by taking their food...
7,poni Kita,angry,adj,,pilin utala,in a hostile mood,"poki telo olin pi jan poka mi li weka la ona li **pilin utala** lili. | My friend's favorite mug is gone, so they're a bit **angry**."
2,jan Tene,animal,n,,soweli,a member of the Animalia kingdom,kijetesantakalu li **soweli**. | Raccoons are **animals**.
4,jan Tene,another,,,sin,a further or additional one,o pana e poki telo **sin** tawa mi. | Please grab me **another** cup of tea. 
4,jan Tene,another,,,ante,different,musi ni li ike a. mi o lukin e **ante**. | This movie was very boring. We should've watched **another**.
3,ijo vivi,answer,,,"sona (kama), toki",information given upon a [question],mi wile e sona tan mama: jan sin li kama tan seme? **sona kama** ona li nasa tawa mi. | I asked my parents: Where to babies come from? Their **answer** surprised me.
3,"ijo vivi, jan Tene",answer,,,toki (e sona),to give requested information,ona li **toki** e nanpa wawa tawa alasa sona mi. | He **answered** my question with amazing statistics.
3,"ijo vivi, jan Tene",answer,,,"ken e toki, kute e wile toki",to accept an incoming telephone [call],ala li **ken e toki**. ken la ona li lape. | No one is **answering**. They might be asleep.
14,lipamanka,any,,,ale,"of a set, all possibilities are acceptable","jan **ale** li ken ni. | **Any** person can do that.
nasin **ale** li ken. | **Any** approach will do."
14,ijo vivi,any,,,∅,(indefinite article used in questions or negative statements),"sina wile ala wile e sona namako? | Do you have **any** further questions?
mi sona ala a e tan. | I don't have **any** clue why."
0,ijo vivi,anymore,,,kama ... ala; ... li weka,no longer,"mi **kama** olin **ala** e sina. mi weka. | I don't love you **anymore**. Goodbye.
ijo li ante lon insa mi. pilin monsuta mi **li weka**. | Something must have changed in me. I don't fear it **anymore**."
5,jan Tene,anyone,,,jan ale,"of a set of individuals, all possibilities are acceptable",jan **ale** li ken ni. | **Anyone** can do that. 
23,lipamanka,anything,,,ijo ale,"of a set of objects, all possibilities are acceptable",**ijo ale** li moku pona tawa mi. | I'll eat **anything**.
5,ijo vivi,anyway,,,"taso, awen (as preverb)","[despite] of another option, [still]","sina ken awen lon weka. **taso** sina kama a. | You didn't have to come, but you did **anyway**.
jan mute la moku ni li ike. taso mi **awen** wile moku e ona. | I've heard this food tastes bad, but I want to try it **anyway**."
5,ijo vivi,anyway,,,ante la,(discourse marker introducing a new conversation topic),"mi pali pona e moku. **ante la**, nasin sin sina kili li seme a. | I think our food turned out great. **Anyway**, what was that about your apple experiments?"
0,ijo vivi,apart,,,"weka, poka ala",separated,"jan utala o lon **ala** supa **poka**. | **Set** the two squabblers **apart**.
mi en sina li **weka** mute. jan li ken ala sona e **weka** pi suli ni. taso a, mi pilin e ni: awen la mi ken kama pona. | We might be thousands, if not millions of miles **apart**. But, I think we're going to be okay."
0,ijo vivi,apart,,,tu; open; pakala,"into [part]s; opened, destroyed","mi **open** e ilo li pona e insa li wan sin e ona. | We **took** the computer **apart**, fixed it, and put it back together.
len mi li kama lon palisa la ona li **tu pakala** e ona. | My shirt got caught on a pole, which **tore** it **apart**."
0,ijo vivi,apart from,,,... ala la,"except for, besides","sitelen li toki ike **ala** e meli **la** ona li musi mute a. | **Apart from** the misogynistic jokes, the movie was pretty funny."
0,ijo vivi,appear,,,kama (lon),"to show up, to become present or visible",ni la jan moli li **kama** a!! | And then a skeleton **appeared**!!
0,ijo vivi,appear,,,tawa lukin,"to [seem], [look]",**lukin la** mi ken ala pini e musi ni. | This puzzle **appears** impossible.
4,lipamanka,apple,,,kili,"a very sweet, crisp, and crunchy fruit with a berry-like aroma","jan Saja li jo e **kili** tu wan. jan Awan li jo e **kili** luka tu. ona li wan e **kili** ale, la **kili** pi mute seme li lon? | Sarai has three **apples.** Abram has seven **apples.** If they combine all their **apples, how many **apples** are there? "
0,ijo vivi,appropriate,,,pona,"befitting, suited","nimi 'suwi' li toki **pona** e ona. | ""Kind-hearted"" is an **appropriate** description of him."
0,,archipelago,,,"kulupu {ma, nena}",a chain of [islands],ma Awawi li **kulupu pi nena mute** li tan seli pi anpa ma. | Hawaii is an **archipelago** formed by volcanic activity.
0,ijo vivi,are you kidding me,,,"ike a, seme a, pakala a",(expressing exasperation),**seme a**? kiwen lili li weka ike tawa insa pi ilo suli a! | **Are you kidding me**? Now I've dropped the screw into the machine!
