submitted,keyword,notes
jan Lakuse,cat,"To differentiate from other house pets, cats may be described by their *linja pi poka uta* (near-mouth hair) whiskers, by their *palisa luka kipisi* (sharp fingers) claws, by their *sijelo ko* (semi-solid body) physical malleability, and *ken alasa* (hunting ability) hunting prowess, in addition to other characteristics. 

To differentiate from other large predatory animals, large cats may described in relation to their domestic counterparts, or with reference to their characteristics such as *tawa wawa* (energetic movement) speed, *palisa luka kipisi li ken open li ken pini* (cutting fingers can open and close) retractable claws, *ken lukin pona pi tenpo pimeja* (good vision ability of night-time) night vision, and *linja pi poka uta* (near-mouth hair) whiskers, among others."
lipamanka,doctor,"in English, the title ""doctor"" is typically earned by someone after years of study in a medical or non-medical field, and describes a very high level of expertise. Keep in mind that conveying this level of expertise may not come automatically with any of the phrasing provided in these examples. If important, it may be necessary to explain or describe someone's background in their field, acknowledge their authority in it, and mention how other members of their field feel about them (like some who were previously doctors may have their medical license revoked, and a description of their background that omits that would be misleading in toki pona, where in English it would be implicit within ""disgraced"")"
kala Asi,on,"The preposition ""on"" frequently occurs in phrasal verbs. Seek translations of those as a unit."
lipamanka and kala Asi,now,"""tenpo ni"" and ""tenpo lon"" both usually describe ""now"", and the former is more frequent overall. However, ""tenpo ni"" more generally means ""at this/that time"", or where ""this/that"" could refer either to the present (especially in isolation) or to something previously mentioned, where ""tenpo lon"" may help disambiguate."
jan Lakuse,chess,"To differentiate from other board games, the general set-up and win condition may be described. 

For example:
- *kulupu pimeja en kulupu walo li utala e sama*. The black group and the white group fight each other.
- *sitelen leko mute li lon supa*. Many squares are on the surface.
- *sitelen leko wan li jo e jan wan*. One square can contain one person.
- *jan luka luka luka wan li lon kulupu wan*. Sixteen people are in one group.
- *jan lawa li moli la kulupu li anpa*. When the king dies, the group is defeated."
mun Nanseki,complex,"*pona* is sometimes taught, especially in older material such as lipu pu, as meaning ""simple"" in addition to ""good"", with *ike* meaning both ""bad"" and ""complex"". As more commonly used now, *pona* and *ike* only refer specifically to goodness/badness, and only describe simplicity/complexity to the extent that those qualities are good or bad."
"lipamanka, ijo vivi",autism,"The word ""nasa"" used to mean ""stupid,"" and in light of that it used to be offensive to use the term to describe autism. But that meaning of nasa has been redacted and disavowed by the community as a commitment to combat ableism. Because of this, it's no longer offensive to use ""nasa"" to describe autism. However, there exist speakers who believe that in an environment where most people are autistic, autism becomes the new normal and can no longer be a type of ""nasa."" Others respond by saying that autism is always ""nasa"" when compared with the societal expectations of what is ""normal.""

In many contexts, it may be simpler to describe a specific part of autistic experience (e.g. wanting to stim, getting overwhelmed by bright lights), instead of reaching for a description that encompasses everything."
jan Tekinowi,love,"In English, the word ""love"" ranges in intensity from being something you like, to being someone you want to stay with for the rest of your life. toki pona ""olin"" is closer to the intense meaning of love, and isn't used for liking something a lot. While olin is most commonly used for partners, pets and family, it can be used for objects and activities too, if you are deeply passionate about these things and they've impacted you deeply. If the feeling of love you want to translate isn't this intense, it's better to use another construction such as ""X li pona mute tawa mi"" - ""X is amazing to me"" or ""mi la, X li pona"" - ""to me, X is good"". "
kala Asi,choose,"By listing the options, you can imply the act of choosing without dedicating a verb to it:  
*jan lili li lukin e kili loje e kili laso li **moku** e kili loje.*  
The child looked at the red apple and the green apple and **chose to eat** the red one."
lipamanka,take,"The English word ""take"" is very idiomatic and many of its usages with specific nouns may not be covered in this dictionary."
kala Asi,all,"Be careful with the meanings of ""entire"" vs ""every"", which are often distinct but both expressed through ale:

- ***ale** pi tenpo suno la mi lon tomo.* I have been home all day. (= the entire day)
- *tenpo suno **ale** la mi lon tomo.* I have been home every day. (= for all of the days)"
ijo vivi,furry,"Other animal words may be appropriate depending on the furry's species: for example, *(jan) waso* for an avian furry."
ijo vivi,happy birthday,"When said on someone's birthday, general well-wishes like ""Have a good time today"" may be contextually understood as a birthday salutation."
ijo vivi,help,Many translations are possible depending on the kind of help given.
"ijo vivi, lipamanka",piano,"It may be useful to discuss one or more of the following traits that sets the piano apart. Pianos are keyboard instruments with black and white buttons. Multiple buttons can be pressed at once. Each button, when pressed, controlls a hammer that hits a string inside, which can contrast it from an electric keyboard, harpichord, organ, harmonium, etc. This also allows the player to control the dynamic (volume) of the notes by increasing or decreasing pressure during the hit. Pianos are almost always very large, and will frequently be the largest instrument in the room or on stage. There are many sizes of pianos, but the smallest common one is still larger than most humans. "
ijo vivi,magic,"Some magic abilities may need to be described with whole sentences, for example:
- I'm sweeping with the broom that's moving over there. I have the ability to move objects without touching them.
- The humans used a barrier to seal the monsters underground. Only a human's power could reopen the barrier."
"kala Asi, ilo Tani",almost,"One may choose to express it as two statements, contrasted by taso:
- *jan **mute** a li tawa ni, **taso** jan pi **mute lili** li awen.* **Almost** all people went there."
ijo vivi,sorry,"Like in other languages, minor mistakes only require brief apology. More serious misdeeds will warrant a longer apology, potentially including a show of remorse and a promise to not repeat one's mistakes."
kala Asi,wear,"The direct object is typically one's body part or self, whereas in English the direct object is typically a clothing item."
mun Nanseki,trans,"Not every transgender tokiponist identifies as *tonsi*, with some people using it to refer to any type of gender nonconformity while others use it for only the non-binary. When in doubt, ask the person being talked about."
ilo Tani,left,"If it's necessary to specify the difference between left and right, it's often preferred to explain the property of a situation which makes the distinction necessary. For instance, when explaining to a child in the US that they should look *left, right, left* when crossing the street, it's preferable to explain that they should first look in the direction that cars will be coming from, then continue to alternate the direction in which they are looking. This tends to make explanations more universal—the explanation will now apply to crossing the street in other countries, where traffic may come from the other direction."
ilo Tani,right,"When translating *right* in contrast with *left*, it's often preferred to explain the property of a situation which makes the distinction necessary. For example, when referring to using one's *right* hand, consider whether it may be more effective to translate *dominant* hand:
- *o jo e ilo kepeken **luka wawa** sina.* Hold the tool in your **dominant** hand."
ijo vivi,window,"Different computer windows may be described metonymically by their function, like using *musi* for a game window or *ilo (pali)* for a productivity tool."
ijo vivi,hate,"Dislike is usually expressed with a *tawa*-construction, with the disliked thing as the subject. In contrast, in English the disliked thing is usually the direct object."
ijo vivi,nature,"In Toki Pona, it may be easier to focus on a specific aspect of ""nature"", rather than reaching for a word that captures all of the English meaning."
ijo vivi,he,"Toki Pona pronouns don't indicate gender, and so translations of gendered pronouns don't usually involve the gender words unless gender is relevant to the subject (for example, a heterosexual romance story where *she* and *he* consistently refer to different characters)."
kala Asi,hundred,"*wan ale* (abbreviated *WA*) follows the [nasin nanpa pona](https://sona.pona.la/wiki/nasin_nanpa_pona) principle, which is adopted by most proficient speakers. Before NNP the common principle would yield *ale*, which is ambiguous with '[all]', but still in use."
kala Asi,thousand,"*luka luka ale* (abbreviated *LLA*) follows the [nasin nanpa pona](https://sona.pona.la/wiki/nasin_nanpa_pona) principle, which is adopted by most proficient speakers. Before NNP the common principle would yield *ale ale ale ale ale ale ale ale ale ale*.  

Expressing numbers in the thousands can feel counterintuitive. For example, 8 = LTW and 1000 = LLA, but 8000 = MMMMA, not LTWLLA. This is because nasin nanpa pona relies on integer powers of 100. It helps to think of numbers such as 8000 not as *eight thousand*, but as *eighty hundred*."
kala Asi,million,"*wan ale ale ale* (abbreviated *WAAA*) follows the [nasin nanpa pona](https://sona.pona.la/wiki/nasin_nanpa_pona) principle, which is adopted by most proficient speakers. Before NNP the common principle would yield *ale* repeated ten thousand times, which is not documented in real use."
ijo vivi,low,"English's metaphor of 'low' and 'high' tones is not universal, and may not be understood across languages. Descriptions of sound in Toki Pona may focus on other aspects of a sound, such as the presumed or actual size of the sound's producer, or a sound appearing 'muffled' when originating from behind a wall or from somewhere far away."
ijo vivi,thank you,"Toki Pona lacks a universal phrase for 'thank you' and instead expresses gratitude by complimenting the speaker (e.g. *sina pona*, 'you're awesome') or their actions (e.g. *sona ni li pona*, 'that's helpful information').

Like in other languages, this is typically kept short (e.g. *pona*, '(that's) great') for minor assistance. Bigger favors will warrant larger displays of gratitude, which can involve naming the favor one received, reiterating how it was helpful, and (extralinguistically) offering a favor in return."
"ijo vivi, (via lipamanka)",degree,"In English, the word ""degree"" implies years of study in a formal setting, as well as verification of that knowledge by other experts through exams. Keep in mind that the Toki Pona phrasings given may not connote this level of expertise. See also the note at ""[doctor]""."
ijo vivi,think,"Different translations may be more or less appropriate depending on the type of thinking (e.g. internal communication, imagining pictures or scenes, brainstorming)."
ijo vivi,estrogen,"Different words can be used for different modes of administration, like *kiwen* for pills or *telo* for injections."
ijo vivi,testosterone,"Different words can be used for different modes of administration, like *ko* for gel or *telo* for injections."
jan Lakuse,west,"When attempting to convey ""the West"" as in ""the Western World,"" consider instead naming the specific countries or continents you are refering to, or describing the geopolitical block you have in mind using specific historical details."
lipamanka,spring,"For the time of year: keep in mind that seasons vary a lot depending on location. Many places do not have a ""spring,"" but they may still have a time of year where plants come up from the ground after a long period of that not happening, so the same description may work. "
